created_date,pick_city_name,bad_weather_order,A1,total_submitted,total_delivered,cancelled_quit,cnd,incharge_period,completion_time,peak3,stack,30 days from created_date,A30,%peak3,%stack,%cnd,%g2n,%bw,cancel_by_mex_users
2022-05-30,Can Tho City,4144,483,7046,6576,470,68,0.4791072842438638,21.752746974530357,499,529,2022-04-30,1084.0,0.07082032358785126,0.07507805847289242,0.009650865739426626,0.9332954868010218,0.588135112120352,402
2022-05-30,Dong Nai,2788,619,8889,7903,986,286,0.8290966983045347,24.193562376320994,35,1820,2022-04-30,1375.0,0.0039374507818652265,0.2047474406569918,0.03217459781752728,0.8890763865451682,0.3136460794240072,700
2022-05-30,Hai Phong City,249,359,5069,4001,1068,523,3.228755264389331,29.43680538250685,2338,1391,2022-04-30,1000.0,0.46123495758532257,0.27441309923061746,0.10317616886959953,0.7893075557309134,0.04912211481554547,545
2022-05-30,Hue City,0,391,6410,5841,569,53,0.3379607012972914,18.236760764185913,69,420,2022-04-30,876.0,0.010764430577223089,0.0655226209048362,0.008268330733229329,0.9112324492979719,0.0,516
2022-05-30,Vung Tau,0,158,3263,2879,384,126,0.8055647932601706,18.101347911604766,260,295,2022-04-30,326.0,0.0796812749003984,0.09040760036775973,0.03861477168250076,0.8823168863009501,0.0,258
2022-05-31,Binh Duong,1194,467,6408,5522,886,453,0.9599402355422745,21.17162845278931,515,887,2022-05-01,1498.0,0.08036828963795256,0.1384207240948814,0.07069288389513109,0.8617353308364545,0.18632958801498128,433
2022-05-31,Can Tho City,0,540,6699,6328,371,19,0.2099148606811145,18.96838563843768,0,86,2022-05-01,1087.0,0.0,0.01283773697566801,0.0028362442155545602,0.9446185997910136,0.0,352
2022-05-31,Dong Nai,10,679,9265,8243,1022,274,0.8698193990347189,23.43491525423729,9,1900,2022-05-01,1379.0,0.0009713977334052887,0.2050728548300054,0.029573664328116568,0.889692390717755,0.0010793308148947653,748
2022-05-31,Hai Phong City,1731,392,5148,4179,969,394,1.909045695909057,27.793618206413623,963,1497,2022-05-01,1007.0,0.18706293706293706,0.2907925407925408,0.07653457653457653,0.8117715617715617,0.33624708624708627,575
2022-05-31,Hue City,0,393,6597,6010,587,41,0.31405291005291003,17.664833582544166,17,282,2022-05-01,876.0,0.0025769289070789753,0.042746703046839474,0.006214946187661058,0.9110201606790965,0.0,546
2022-05-31,Vung Tau,0,174,3467,3074,393,120,0.689020095297286,17.60963347388907,156,188,2022-05-01,327.0,0.044995673492933375,0.05422555523507355,0.03461205653302567,0.886645514854341,0.0,273
2022-06-01,Binh Duong,322,505,6215,5393,822,393,0.7741233591080741,21.391280721254784,279,694,2022-05-02,1510.0,0.044891391794046664,0.11166532582461786,0.06323411102172165,0.867739340305712,0.05181013676588898,429
2022-06-01,Can Tho City,0,543,6930,6527,403,12,0.23417973612148366,19.440103050709112,0,129,2022-05-02,1095.0,0.0,0.018614718614718615,0.0017316017316017316,0.9418470418470418,0.0,391
2022-06-01,Dong Nai,0,661,9718,8468,1250,408,1.1146080536407126,24.50384388633416,50,2503,2022-05-02,1380.0,0.005145091582630171,0.2575632846264663,0.04198394731426219,0.8713727104342457,0.0,842
2022-06-01,Hai Phong City,0,402,6074,4681,1393,696,2.3610648423557405,29.757032303869362,2466,1711,2022-05-02,1003.0,0.40599275600921964,0.28169245966414225,0.1145867632532104,0.7706618373394798,0.0,697
2022-06-01,Hue City,0,399,6969,6210,759,137,0.46659021406727824,19.116958688313776,699,385,2022-05-02,873.0,0.10030133448127422,0.05524465490027264,0.019658487587889222,0.8910891089108911,0.0,622
2022-06-01,Vung Tau,0,185,3568,3127,441,170,0.690205081114172,18.346645401382244,89,265,2022-05-02,326.0,0.024943946188340806,0.0742713004484305,0.0476457399103139,0.8764013452914798,0.0,271
2022-06-02,Binh Duong,5588,427,7508,5295,2213,1594,1.8688225689404936,26.055401670749323,3592,730,2022-05-03,1508.0,0.47842301545018645,0.09722962173681407,0.2123068726691529,0.7052477357485349,0.7442727757059137,619
2022-06-02,Can Tho City,56,545,7147,6762,385,15,0.23203106159263007,19.401757495200115,0,147,2022-05-03,1104.0,0.0,0.02056807051909892,0.0020987827060305023,0.9461312438785504,0.007835455435847209,370
2022-06-02,Dong Nai,10503,541,11054,7231,3823,2676,4.074611973392461,32.8647908045977,6460,1695,2022-05-03,1379.0,0.5844038357155781,0.1533381581328026,0.24208431337072553,0.6541523430432422,0.950153790483083,1147
2022-06-02,Hai Phong City,0,394,5642,4566,1076,542,2.2596204008786382,28.32395947226474,1619,1772,2022-05-03,1012.0,0.2869549805033676,0.3140730237504431,0.09606522509748316,0.8092874867068416,0.0,534
2022-06-02,Hue City,196,412,6936,6295,641,64,0.33883695215118614,17.46617748162251,200,253,2022-05-03,881.0,0.02883506343713956,0.03647635524798155,0.00922722029988466,0.9075836216839677,0.02825836216839677,577
2022-06-02,Vung Tau,1255,171,3927,2868,1059,756,1.231303669008587,19.413542028985507,1396,266,2022-05-03,324.0,0.35548764960529666,0.0677361853832442,0.1925133689839572,0.7303284950343774,0.3195823784059078,303
2022-06-03,Binh Duong,812,477,6362,5390,972,497,0.9163384652106458,21.36411728395062,359,717,2022-05-04,1520.0,0.05642879597610814,0.11270040867651682,0.0781200880226344,0.8472178560201195,0.12763281986796604,475
2022-06-03,Can Tho City,1262,475,6991,6482,509,23,0.25109808576940196,21.02035298342825,0,267,2022-05-04,1109.0,0.0,0.03819196109283364,0.003289944213989415,0.9271921041338864,0.1805178086110714,486
2022-06-03,Dong Nai,3867,658,9606,8363,1243,415,1.6016312464101092,27.59186754176611,100,3062,2022-05-04,1389.0,0.010410160316468874,0.3187591088902769,0.04320216531334582,0.8706017072662919,0.40256089943785134,828
2022-06-03,Hai Phong City,0,389,5941,4689,1252,577,3.5287663464104617,32.218742459726066,2965,1686,2022-05-04,1012.0,0.4990742299276216,0.28379060764181113,0.09712169668405993,0.7892610671604107,0.0,675
2022-06-03,Hue City,0,346,7203,5868,1335,335,0.8264982702482702,22.502498865441343,2335,700,2022-05-04,890.0,0.32417048452033875,0.09718172983479106,0.04650839927807858,0.8146605581007913,0.0,1000
2022-06-03,Vung Tau,160,183,3536,3054,482,200,0.6944010009383798,19.557856909506697,237,276,2022-05-04,324.0,0.06702488687782805,0.07805429864253394,0.05656108597285068,0.8636877828054299,0.04524886877828054,282
2022-06-04,Binh Duong,711,480,6770,5919,851,368,1.5824590163934427,23.20561927250239,883,1382,2022-05-05,1531.0,0.13042836041358938,0.20413589364844903,0.054357459379615954,0.8742983751846382,0.10502215657311668,483
2022-06-04,Can Tho City,2416,481,6806,6386,420,17,0.28621502433090024,20.323352622250024,0,88,2022-05-05,1113.0,0.0,0.012929767851895386,0.0024977960622979724,0.9382897443432265,0.35498089920658243,403
2022-06-04,Dong Nai,3792,654,9882,8371,1511,685,1.8103006596103697,25.861265505725193,1642,3296,2022-05-05,1398.0,0.16616069621534102,0.33353572151386357,0.06931795183161303,0.8470957296093908,0.38372799028536736,826
2022-06-04,Hai Phong City,0,391,6300,5107,1193,503,3.653710518245937,32.60095759233926,3165,1846,2022-05-05,1016.0,0.5023809523809524,0.293015873015873,0.07984126984126984,0.8106349206349206,0.0,690
2022-06-04,Hue City,0,414,7167,6453,714,82,0.5862042757673825,19.669835371832583,215,1155,2022-05-05,894.0,0.029998604716059717,0.16115529510255336,0.011441328310311149,0.9003767266638761,0.0,632
2022-06-04,Vung Tau,1616,185,3956,3450,506,193,0.6992221301666206,19.243727132678604,336,262,2022-05-05,327.0,0.08493427704752275,0.06622851365015167,0.04878665318503539,0.872093023255814,0.4084934277047523,313
2022-06-05,Binh Duong,0,456,6879,5994,885,369,1.5859401847079038,21.96837222222222,483,1340,2022-05-06,1546.0,0.07021369385085041,0.1947957551969763,0.05364151766245094,0.8713475795900567,0.0,516
